place,post_label,person_name,party,image_url
,,Gideon Sa'ar,New Hope,static/mk_images/1_725_3_1595.jpeg
,,Yisrael Eichler,Agudat Yisrael,static/mk_images/1_754_3_1681.jpeg
,,Ze'ev Elkin,New Hope,static/mk_images/1_768_3_1721.jpeg
,,Avi Dichter,Likud,static/mk_images/1_771_3_1732.jpeg
,,Yariv Levin,Likud,static/mk_images/1_826_3_1921.jpeg
,,Hamad Amar,Yisrael Beiteinu,static/mk_images/1_837_3_1973.jpeg
,,Karine Elharrar,Yesh Atid,static/mk_images/1_860_3_2066.jpeg
,,Ya'akov Asher,Degel HaTorah,static/mk_images/1_861_3_2073.jpeg
,,Boaz Toporovsky,Yesh Atid,static/mk_images/1_872_3_2141.jpeg
,,Meir Cohen,Yesh Atid,static/mk_images/1_874_3_2153.jpeg
,,Mickey Levy,Yesh Atid,static/mk_images/1_876_3_2167.jpeg
,,Yair Lapid,Yesh Atid,static/mk_images/1_878_3_2178.jpeg
,,Merav Michaeli,Labor,static/mk_images/1_881_3_2196.jpeg
,,Elazar Stern,Yesh Atid,static/mk_images/1_899_3_2289.jpeg
,,Benjamin Netanyahu,Likud,static/mk_images/1_90_3_248.jpeg
,,Pnina Tamano-Shata,Resilience,static/mk_images/1_905_3_2327.jpeg
,,David Bitan,Likud,static/mk_images/1_914_3_2378.jpeg
,,Meirav Ben-Ari,Yesh Atid,static/mk_images/1_915_3_2385.jpeg
,,Ayman Odeh,Hadash,static/mk_images/1_938_3_2537.jpeg
,,Aida Touma-Suleiman,Hadash,static/mk_images/1_948_3_2597.jpeg
,,Sharren Haskel,New Hope,static/mk_images/1_950_3_2607.jpeg
,,Oded Forer,Yisrael Beiteinu,static/mk_images/1_951_3_2614.jpeg
,,Amir Ohana,Likud,static/mk_images/1_953_3_2628.jpeg
,,Yulia Malinovsky,Yisrael Beiteinu,static/mk_images/1_956_3_2649.jpeg
,,Michael Malchieli,Shas,static/mk_images/1_957_3_2656.jpeg
,,Youssef Atauna,Hadash,static/mk_images/1_964_3_2697.jpeg
,,Yinon Azulai,Shas,static/mk_images/1_970_3_2722.jpeg
,,Nir Barkat,Likud,static/mk_images/1_974_3_12308.jpeg
,,Ofir Katz,Likud,static/mk_images/1_976_3_12324.jpeg
,,Ofir Sofer,Mafdal - Religious Zionism,static/mk_images/1_977_3_11108.jpeg
,,Orit Farkash-Hacohen,Resilience,static/mk_images/1_978_3_11111.jpeg
,,Orit Strook,Mafdal - Religious Zionism,static/mk_images/1_884_3_2213.jpeg
,,Alon Schuster,Resilience,static/mk_images/1_982_3_11099.jpeg
,,Ariel Kallner,Likud,static/mk_images/1_987_3_11129.jpeg
,,Benny Gantz,Resilience,static/mk_images/1_988_3_12347.jpeg
,,Eti Atiya,Likud,static/mk_images/1_992_3_11212.jpeg
,,Evgeny Sova,Yisrael Beiteinu,static/mk_images/1_994_3_11217.jpeg
,,Yoav Segalovitz,Yesh Atid,static/mk_images/1_995_3_11219.jpeg
,,Ya'akov Tessler,Agudat Yisrael,static/mk_images/1_996_3_11221.jpeg
,,Yorai Lahav-Hertzanu,Yesh Atid,static/mk_images/1_998_3_11225.jpeg
